,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,dec
141,EPIC 212225806.01,0.0,0.594392,46.615540540540536,40.6214,5552.0,2.3708108108108106,4.377027027027027,25.1826645
142,EPIC 212225986.01,0.0,1.160308,34.03343243243242,20.5206,4331.0,0.88,4.38,25.1910877
143,EPIC 212228588.01,0.0,0.59812,43.43824324324324,10.8294,4142.0,0.94,4.31,25.3181929
144,EPIC 212297394 b,1.0,2.289363,1.48,3.8239405405405416,5171.0,0.8,4.55,-17.6098985
145,EPIC 212297394 c,1.0,5.21378,2.29,0.0828,5601.362972972973,0.75,4.427567567567567,-17.6098985
146,EPIC 212624936 b,1.0,0.578657,1.2,3.8062918918918927,5765.0,0.93,4.4,-10.0236852
147,EPIC 212624936 c,1.0,11.81387,2.67,0.0722,5588.93054054054,0.95,4.424324324324324,-10.0236852
148,EPIC 212737443 b,1.0,13.603,2.586,0.11,4684.0,0.67,4.62,-7.3180577
149,EPIC 212737443 c,1.0,65.55,2.69,0.11,4684.0,0.67,4.62,-7.3180577
150,EPIC 213951550.01,0.0,1.11704,33.94,3.4809783783783783,3506.0,0.5,4.74,-27.7923145
151,EPIC 220492298 b,1.0,0.762406,0.99,3.7331,5620.0,0.89,4.5,6.588798
152,EPIC 220554210 c,1.0,0.70531,1.6,3.723410810810811,5499.0,1.0,4.5,7.9952914
153,EPIC 220674823 b,1.0,0.571292,1.52,3.8298972972972973,5470.0,0.87,4.53,10.7947051
154,EPIC 220674823 c,1.0,13.341245,2.53,3.8298972972972973,5590.0,0.83,4.56,10.7947051
155,EPIC 228729473.01,0.0,16.77217,19.29,0.199,4898.0,3.88,4.261081081081081,-9.8902432
156,EPIC 228836835 b,1.0,0.728113,1.1,0.8726540540540542,3782.0,0.32,5.0,-5.2446247
157,EPIC 246851721 b,1.0,6.180235,11.781,0.464,6202.0,1.59,4.16,16.2786991
158,EPIC 248847494 b,1.0,3650.0,12.442,0.18,4898.0,2.7,3.52,11.8427484
159,EPIC 249893012 b,1.0,3.5951,1.95,3.824762162162163,5430.0,1.71,3.99,-16.7246474
160,EPIC 249893012 c,1.0,15.624,3.67,3.824762162162163,5430.0,1.71,3.99,-16.7246474
161,EPIC 249893012 d,1.0,35.747,3.94,3.824762162162163,5430.0,1.71,3.99,-16.7246474
162,EPIC 251281013.01,0.0,3.287912,41.7731081081081,10.7725,5137.0,1.02,4.36,14.5366841
163,EPIC 251286992.01,0.0,0.505602,43.739864864864856,41.0848,4830.0,0.91,4.41,15.1904093
164,EPIC 251292508.01,0.0,1.288312,38.16616216216216,24.1729,3412.0,0.58,4.67,15.8078269
165,EPIC 251307609.01,0.0,0.598197,44.17194594594595,37.9663,5132.0,1.25,4.18,17.3896491
166,EPIC 251308775.01,0.0,2.804246,45.55202702702703,6.91,5938.45,2.43,3.7,17.5099047
167,EPIC 251314585.01,0.0,0.691617,42.48316216216215,9.8244,5285.0,1.75,3.91,18.0478072
168,EPIC 251315031.01,0.0,0.540527,25.380216216216212,33.3734,5187.17,1.04,4.35,18.088564
169,EPIC 251327548.01,0.0,11.349445,46.660540540540545,5.9759,6002.0,1.7,4.02,19.1600695
170,EPIC 251330444.01,0.0,5.998652,33.948459459459464,8.319,4930.0,2.67,4.281891891891891,19.423595
171,EPIC 251345848.01,0.0,2.883162,46.73724324324324,3.7899,6100.45,1.21,4.33,20.727007
172,EPIC 251345849.01,0.0,0.545251,41.49654054054054,13.922,6074.26,1.24,4.31,20.727052
173,EPIC 251347050.01,0.0,0.493967,34.48851351351351,1.7723,7437.0,1.94,4.09,20.8291125
174,EPIC 251353301.01,0.0,0.504475,46.65148648648648,8.7373,6963.0,1.35,4.36,21.3558369
175,EPIC 251356484.01,0.0,0.781949,46.69218918918919,18.6838,5480.9,1.59,4.02,21.6148163
176,EPIC 251356953.01,0.0,5.21459,38.19875675675676,55.5674,5457.16,1.0,4.42,21.6537781
