,Unnamed: 0,pl_name,hd_name,hip_name,tic_id,disposition,sy_snum,sy_pnum,rv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w3mag,sy_w4mag,sy_icmag,sy_kepmag,k2_campaigns,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
308,308,EPIC 204165788.01,HD 147932,HIP 80474,TIC 203822414,0,1.0,0.0,0.0,0.7474,,,,,,,,,,,,,,,,,2456893.14059,0.0,,0.17,,,,,,,,,,,,,,,,,,,,,,-23.4053136,17.7145,353.71887,-1.71618,248.43053,23.8472287,-9.33783,-21.943,133.312,7.47331,7.511,7.27,,,,,,6.291,5.896,5.66,,7.281,2.0,1849368.0,153740384.0,,,,1.1817660550458715,,,372784.75
318,318,EPIC 204506777.01,HD 144548,HIP 78977,TIC 48796694,0,1.0,0.0,0.0,1.6281,,,,,,,,,,,,,,,,,2456893.45074,0.0,,1.49,,,,,,,,,,5691.0,2.74,1.01,,,0.852,3.57,,0.0691,,,,-22.0602594,21.73189,351.74527,-1.12415,244.04301,26.7494054,-10.954,-24.4037,144.951,6.8719,9.7,8.7,,,,,,6.796,6.744,6.567,,8.752,2.0,1419291.75,5256688.0,,,,0.5613459171112023,,,211114.453125
329,329,EPIC 204760247.01,HD 142883,HIP 78168,TIC 280160125,0,1.0,0.0,0.0,9.2048,,,,,,,,,,,,,,,,,2456903.57,0.0,,14.79,,,,,,,,,,11886.0,3.62,3.17,,,2.371,3.82,,0.0944,,,,-20.9831714,24.0852,350.88389,-0.50449,241.63786,23.9925692,-10.125,-21.7515,155.751,6.39474,5.838,5.84,,,,,,5.767,5.85,5.786,,5.954,2.0,10381770.0,57427932.0,,,,0.0792838874680307,,,2424222.25
333,333,EPIC 204873331.01,,,TIC 162473307,0,1.0,0.0,0.0,1.3178719,,62.0,,,,,,,,,,,,,,,2456895.45559,0.0,,1.978,1.872,4.28,0.286,,,,,,,,1.98,,,,,,,,,,,-20.4763359,17.3551,358.04706,1.6169,250.8909,10.7264744,-2.13427,-10.512,552.872,1.8024,13.174,12.734,,,,,,10.436,10.404,8.513,,12.337,2.0,5071.0703125,159556.71875,,,,0.9603297269448737,,,1314.115478515625
336,336,EPIC 204882444.01,,,TIC 220604303,0,1.0,0.0,0.0,1.1488,,,,,,,,,,,,,,,,,2456893.45557,0.0,,0.98,,,,,,,,,,3429.0,0.98,0.42,,,-0.918,4.07,,0.6167,,,,-20.4356029,24.90044,350.83791,-0.09216,240.93333,25.8543262,-13.792,-21.8684,144.086,6.91253,16.825,15.15,,,,,,9.638,9.407,8.56,,13.966,2.0,2667.62890625,36721.2734375,,,,0.9817708333333334,,,1274.60888671875
352,352,EPIC 205046529.01,,,TIC 49040871,0,1.0,0.0,0.0,1.8361,,,,,,,,,,,,,,,,,2456892.63254,0.0,,0.55,,,,,,,,,,,,,,,,,,,,,,-19.6641652,22.83383,354.17783,1.36655,244.32034,11.8462862,-6.68927,-9.77692,,,18.071,16.939,,,,,,10.139,9.787,8.631,,13.725,2.0,7477.98681640625,14024.0927734375,,,,1.0057986294148655,,,337.1730041503906
355,355,EPIC 205064326.01,,,TIC 73975747,0,1.0,0.0,0.0,8.02678456,,,,,,,,,,,,,,,,,2456896.656177,0.0,,0.472,4.203,,,,,,,,,4708.46,5.6,,0.038,[M/H],,,,,,,,-19.5793619,16.18296,0.19677,2.79417,252.94778,18.0479788,-15.2625,-9.63253,933.196,1.0498,14.703,13.598,,,,,,9.647,9.565,8.847,,12.839,2.0,717.3046875,99601.421875,,,,0.8831683168316832,,,97.10009002685547
365,365,EPIC 205148699.01,,,TIC 437578715,0,1.0,0.0,0.0,4.37983009,,,,,,,,,,,,,,,,,2456896.49822,0.0,,3.43,4.704,,,,,,,,,5982.0,1.6,1.1,,,0.471,4.07,,0.3775,,,,-19.1616989,15.47628,1.29446,3.35239,254.09093,10.9678618,-6.34429,-8.94673,476.35,2.08111,13.344,12.706,,,,,,10.435,10.673,8.48,,12.389,2.0,3197.1171875,130806.0390625,,,,0.6198382290336313,,,874.88916015625
383,383,EPIC 205483258.01,,,TIC 413551134,0,1.0,0.0,0.0,5.6683,,,,,,,,,,,,,,,,,2456890.42292,0.0,,6.49,,,,,,,,,,3521.0,0.96,0.47,,,-0.897,4.15,,0.7594,,,,-17.2909833,22.08362,358.3017,4.23613,246.9413,28.8588254,-13.4175,-25.55,128.81,7.73513,16.213,14.953,,,,,,9.551,9.185,8.745,,13.724,2.0,9694.798828125,50672.9453125,,,,1.1033720287451632,,,4190.9306640625
395,395,EPIC 205703094.03,,,TIC 413931133,0,1.0,0.0,0.0,24.9922,,36.0,,,,,,,,,,,,,,,2456908.031,0.0,,,5.208,,0.28,,,,,,,6040.0,1.2,,,,,4.32,,,,,,-15.6467547,22.02036,0.64872,6.0857,248.09277,6.8210318,-6.51442,-2.02208,547.751,,13.373,12.53,,,,,,10.259,10.361,8.898,,12.514,2.0,1352.7734375,156052.765625,,,,0.9776507276507277,,,198.01824951171875
407,407,EPIC 205950854 c,,,TIC 437695245,1,1.0,2.0,0.0,8.050722,,1.31,,,,,,,,,,,,,961.0,89.81,2456973.7648,0.0,0.064,,,16.18,0.01258,,,,,,,5502.7,0.83,0.88,,,,,,,,,,-16.3418863,-51.71337,40.91076,-4.90552,329.20354,47.271108,36.7977,-29.673,243.935,4.07235,12.973,12.365,,,,,,10.512,10.422,8.716,,12.105,3.0,10473.78125,189336.390625,,,,2.786353467561521,,,677.157958984375
419,419,EPIC 205990339.01,,,TIC 102183048,0,1.0,0.0,0.0,19.44212,,22.0,,,,,,,,,,,,,,,2456992.1373,0.0,,,2.27904,,0.63,,,,,,,3864.0,0.35,,,,,4.91,,,,,,-15.1061088,-49.33166,41.38461,-3.02406,327.70882,,,,,,17.651,,,,,,,13.445,11.259,8.044,,16.768,3.0,294.028564453125,2040.1683349609375,,,,1.0391566265060241,,,35.229679107666016
428,428,EPIC 206024342 b,,,TIC 75266189,1,1.0,3.0,0.0,4.50717,,1.44,,,,,,,,,,,,,,,2456979.6895,0.0,,0.0267,2.184,13.9,0.016,,,,,,,,0.82,,,,,,,,,,,-14.1218019,-49.1871,42.94366,-2.20455,328.32957,35.632147,-18.3674,-30.5334,369.888,2.67518,13.798,13.096,,,,,,11.435,11.597,8.202,,13.046,3.0,3553.66015625,75485.8125,,,,2.1488372093023256,,,643.9380493164062
