,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag
159,K2-253 b,1,1.0,4.00167,12.67,1238.0,81.28885263157896,0.34,1.259,2.1,13.9,0.105,6027.0,1.1,1.08,0.0,4.39,-6.3789537,14.665
160,K2-254 b,1,2.0,4.09639,1.63,791.0,82.4738947368421,0.72,0.052,1.6,15.8,0.0223,4629.0,0.67,0.71,-0.14,4.64,-4.7172908,13.765
161,K2-254 c,1,2.0,12.11839,2.19,551.0,82.47389473684211,0.42,0.12,2.4,31.3,0.0298,4629.0,0.67,0.71,-0.14,4.64,-4.7172908,13.765
162,K2-255 b,1,1.0,1.96417,2.9,1034.0,84.3761052631579,0.44,0.183,1.1,9.1,0.0386,4676.0,0.69,0.71,-0.14,4.62,-3.3705631,13.319
163,K2-256 b,1,1.0,5.52011,2.63,845.0,82.0581157894737,0.42,0.097,3.6,7.6,0.0309,5219.0,0.78,0.84,-0.1,4.58,-2.0660477,14.659
164,K2-257 b,1,1.0,1.60588,0.83,789.0,84.6661052631579,0.4,0.034,1.3,8.2,0.0153,3725.0,0.5,0.52,-0.03,4.76,-1.9532879,12.873
165,K2-258 b,1,1.0,19.0921,3.0,831.0,84.36726315789474,0.37,0.049,6.0,21.5,0.021,6351.0,1.31,1.21,0.01,4.29,-1.1609171,13.163
166,K2-259 b,1,1.0,15.48043,2.32,795.0,84.98125263157895,0.41,0.037,4.2,29.9,0.0189,6059.0,1.13,1.14,0.16,4.39,1.5668631,12.515
167,K2-26 b,1,1.0,14.567025,2.79,1317.5052631578947,81.844,0.0,0.255,4.66,68.55713000000002,0.04567,3731.0,0.51,0.9586210526315788,-0.16852631578947366,4.472126315789474,24.5958335,14.0
168,K2-260 b,1,1.0,2.6266657,17.396,1957.0,88.67,0.122,0.947,4.1676,5.291,0.09731,6367.0,1.69,1.39,-0.14,4.15,16.8676948,12.465
