,pl_name,tid,disposition,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
5305,747.01,15445551.0,1.0,185.324682,-52.840816,-1.356,3.919,2459308.413696,1.6827896,3.0183509,8077.8824916,14.8004637,4170.1035015,2049.5402806,10.349,298.392,6271.0,4.08214,1.56803
5306,748.01,104024556.0,1.0,196.043793,-35.549529,-18.658,1.037,2459307.956112,2.0218978,3.0066495,9440.8977549,18.4075,6416.6381373,2282.688425,10.3182,423.552,7000.0,4.13412,1.94225
5308,750.01,14614418.0,1.0,173.95742,-29.156064,3.179,-4.904,2459304.327073,0.8378445,1.768,20450.0,15.1164,2569.0,1983.0,13.3898,624.368,5600.0,4.43826,1.02
5309,751.01,14661418.0,1.0,174.009869,-29.543364,24.921,-9.907,2459303.027567,4.7228146,2.1894174,22675.3812671,12.1376504,111.2989974,828.404716,12.4806,229.518,4803.0,4.64154,0.793235
5310,752.01,61538902.0,1.0,176.299052,-42.063958,11.67,-1.593,2459309.447174,5.7481344,2.6720121,12292.0460655,13.2374347,345.7199266,1099.7674271,11.3743,301.462,5900.0,4.52994,1.12783
5313,755.01,73228647.0,1.0,190.036564,-44.312078,-3.723,-13.684,2459309.380835,2.5397618,2.3395444,408.2724073,2.0113612,712.432105,1317.6668502,9.4628,106.307,6003.0,4.47356,0.986649
5321,763.01,178819686.0,1.0,194.468098,-39.758061,-76.902,-84.817,2459312.071244,5.6024478,2.9960347,704.8339376,2.4170891,183.0798628,938.1664418,9.5275,95.1274,5767.0,4.34736,0.906761
5322,763.02,178819686.0,1.0,194.468098,-39.758061,-76.902,-84.817,2459309.606206,12.2773062,4.3065941,826.8870385,3.0725491,64.3191381,722.278693,9.5275,95.1274,5767.0,4.34736,0.906761
5324,766.01,219698950.0,1.0,175.52524,-23.354845,-20.357,-0.924,2459304.6595,3.4464529,2.4328198,16363.335572,12.4881809,489.9462456,1199.9326155,11.5122,283.971,5870.0,4.4,0.913091
5325,767.01,229047362.0,1.0,195.359758,-27.522227,-29.268,-6.293,2458572.990673,3.764873,2.759996,22257.118447,13.95182,357.0122872,1108.6399909,11.2175,211.416,5703.0,4.51085,0.92
5327,769.01,248075138.0,1.0,192.981203,-42.073617,-49.781,4.865,2459312.103389,4.9816646,2.8444475,18168.9980519,10.6855974,143.4357791,882.6410539,11.3728,177.291,5315.0,4.51737,0.786807
5328,770.01,248111245.0,1.0,193.55246,-46.587716,-13.593,0.545,2459310.764623,4.6370479,4.8238322,7765.9973286,15.3045465,1342.573266,1543.8469649,12.3335,816.988,6438.0,4.10962,1.68054
5332,773.01,286865921.0,1.0,190.151956,-19.284353,-23.173,-12.865,2459309.364582,4.9712811,3.3018302,11315.9405771,11.6735018,307.6518984,1068.1559141,11.5037,271.103,5510.0,4.44137,1.09347
5333,774.01,294301883.0,1.0,203.758195,-17.503496,12.072,-3.837,2459310.444439,4.4656343,3.512518,17333.7557231,14.6467763,471.601595,1188.5393528,11.3473,297.462,6070.0,4.4201,1.09036
5334,775.01,304042899.0,0.0,164.799978,-59.23397,-24.478,19.54,2459313.56423,12.4458741,11.5424587,7049.3777392,21.0847933,308.6584229,1069.0284982,9.5369,220.953,6746.0,4.41572,1.5288
5335,776.01,306996324.0,1.0,178.577997,-37.553357,251.112,-145.059,2459324.534762,15.6653184,2.9429867,1265.9376469,1.9233649,5.0996269,383.2695801,9.73597,27.1701,3806.0,4.73575,0.533024
5336,776.02,306996324.0,1.0,178.577997,-37.553357,251.112,-145.059,2458571.415385,8.243393,2.423729,1063.236625,1.787437,12.4396869,478.9852188,9.73597,27.1701,3806.0,4.73575,0.545
5340,780.01,398943781.0,1.0,190.618803,-30.639818,14.9,11.889,2459308.534922,3.0524408,2.6226555,21662.2252127,13.0098048,393.000003,1135.5803999,10.7875,163.371,5545.0,4.52787,0.880069
5341,781.01,413376180.0,1.0,176.738826,-22.56301,-46.424,-1.172,2459303.359237,1.3541351,1.894,20360.0,14.0693,667.122,1415.0,12.7492,341.925,5227.0,4.47443,0.93
5356,792.01,294780517.0,0.0,71.245764,-67.98105,-7.454,19.694,2458416.483921,15.649897,1.352587,1979.355709,6.183615,30.6311651,600.0129566,11.7345,215.208,5107.98,4.5443,0.835807
5357,793.01,300013921.0,0.0,107.133952,-68.368778,-0.395,25.382,2458362.367522,163.987428,2.859115,2783.281819,5.464228,1.8272951,296.5322418,10.8578,144.067,5379.0,4.50461,0.894886
5368,803.01,143526444.0,0.0,125.645029,-19.254613,-7.548,5.082,2458505.031281,15.302253,7.03248,621.933736,10.634708,650.3577263,1287.9761634,9.3309,403.772,5370.0,3.32339,3.4819
5379,813.01,55525572.0,1.0,72.69401,-60.905461,-3.733,-2.789,2459125.846913,83.8967527,13.0417142,1159.9353158,7.1779924,29.5830353,594.8129738,9.8467,263.145,5823.7,3.77,2.04354
5380,814.01,255760319.0,0.0,99.714619,-53.107598,5.4,-17.345,2458359.73394,7.21048,2.671,250.094,3.7188,124.246,930.0,8.9944,196.472,5920.4,3.91,2.14
5382,816.01,175180796.0,0.0,116.010481,-36.996503,7.426,-95.61,2458493.44312,1.55747,2.714,3127.94,3.80336,5034.13,2346.0,11.143,74.5217,4146.6,4.6,0.62
