,pl_name,disposition,sy_pnum,pl_orbper,pl_rade,pl_eqt,pl_orbincl,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,st_teff,st_rad,st_mass,st_met,st_logg,dec,sy_kepmag,lc_amplitude,lc_mean,lc_median,lc_q3,lc_q31,lc_resBFR,lc_skew,lc_kurtosis,lc_std
6251,K05099.01,2,1.0,111.187116,1.51,440.0,89.95,0.8164,110.8,3.569,141.8,0.010762,5806.0,1.281,0.881,-0.3,4.168,40.057339,12.709,319.546875,118627.2734375,118616.796875,118720.419921875,191.94921875,1.0969162995594715,0.17936273445146572,542204608.0,122.12033081054688
6255,K05219.01,2,1.0,27.765596,1.2,605.0,89.64,0.069,147.6,19.49,10.99,0.011039,5897.0,0.999,1.088,0.16,4.476,41.255508,15.197,259.38134765625,12212.8984375,12212.34765625,12215.81396484375,6.88134765625,1.1565789473684212,28.877687618164494,38647772.0,13.918669700622559
6258,K05222.01,2,1.0,367.6758,2.77,271.0,89.95,0.0213,699.5,23.5,122.4,0.024198,6140.0,1.048,1.142,0.07,4.455,41.335819,15.343,52.138671875,10621.177734375,10621.009765625,10624.65625,7.2373046875,1.056461731493099,2.8056274589486083,56649.29296875,6.351255893707275
6259,K05223.01,2,1.0,354.21154,8.41,363.0,89.95,0.2007,821.3,18.594,146.3,0.025386,4842.0,3.035,1.227,0.26,3.562,41.319389,13.682,49.626953125,47666.8515625,47666.46484375,47678.107421875,22.16015625,1.0513141426783479,0.01916085231959731,182592.71875,15.982672691345215
6260,K05224.01,2,1.0,171.028691,2.49,376.0,89.86,0.26,394.2,11.784,109.2,0.018205,6123.0,1.252,1.229,0.34,4.332,41.342499,14.892,49.08935546875,16177.5302734375,16175.23828125,16183.09716796875,13.44482421875,1.5061162079510704,1.0818080377247077,78737.953125,11.25211238861084
6261,K04976.01,2,1.0,624.90338,2.77,320.0,89.95,0.0703,249.0,12.169,397.1,0.014651,7089.0,1.729,1.532,0.08,4.148,38.480183,13.62,42.0859375,54291.08984375,54290.41015625,54297.95703125,13.876953125,1.0878980891719745,0.21868433056680636,40970.4453125,10.414116859436035
6262,K04977.01,2,1.0,25.5338535,1.18,410.0,89.95,0.1577,368.0,2.076,94.4,0.01702,4445.0,0.635,0.629,-0.26,4.63,38.548141,15.573,49.7353515625,7805.236328125,7805.01025390625,7808.675048828125,7.235595703125,1.056461731493099,2.752365975615734,51230.86328125,6.328974723815918
6263,K04978.01,2,1.0,339.18998,2.75,253.0,89.95,0.2222,822.0,5.117,507.0,0.026027,5544.0,0.966,0.859,-0.08,4.402,38.5583,15.278,54.3193359375,11288.1376953125,502453.7517269737,506355.14250616776,6621.97107319079,0.9766187050359713,-3.758891492764989,4.513979204080797e+19,11.262834548950195
6265,K04981.01,2,1.0,349.73652,2.32,216.0,89.95,0.0074,886.0,3.428,800.0,0.026683,5310.0,0.796,0.886,0.0,4.582,38.56591,15.466,169.8388671875,9347.287109375,9346.892578125,9351.46484375,8.89453125,1.0590452261306533,19.56737857969029,6515116.0,10.116828918457031
6268,K05101.01,2,1.0,436.18813,1.64,331.0,89.95,0.0998,118.0,11.35,295.1,0.010045,6499.0,1.497,0.993,-0.66,4.084,40.068352,13.026,83.16796875,91518.6171875,91518.62890625,91524.708984375,12.302734375,0.9916317991631799,2.8943825321239904,664425.75,11.75571346282959
6270,K05104.01,2,1.0,21.1579573,1.63,682.0,88.02,0.775,215.9,4.706,22.5,0.014732,6063.0,1.012,1.117,0.07,4.476,40.098381,15.531,28.8388671875,9481.2646484375,9481.35546875,9485.21923828125,7.8486328125,0.9675870348139256,0.043026717207195336,5162.46630859375,6.111259937286377
6273,K05107.01,2,1.0,169.330666,16.68,698.0,89.95,0.5518,532.7,2.6,428.0,0.021658,5106.0,7.052,1.839,-0.28,3.006,40.087151,13.743,103.763671875,41428.23828125,41428.37109375,41437.111328125,17.486328125,0.9963459196102314,0.9734632380025668,548156.9375,13.88545036315918
6276,K05226.01,2,1.0,249.35154,4.42,289.0,89.95,0.2745,1637.0,13.76,138.9,0.040458,5780.0,1.0,1.0,-0.23326315789473676,4.438,41.343376,13.931,62.0546875,3371.96826171875,913994.0322265625,915926.020235403,4112.606717722039,1.1026634382566587,-3.9615217065267463,2.85062944977727e+19,4.782565593719482
6277,K05227.01,2,1.0,371.56492,1.89,259.0,89.95,0.2626,375.5,14.736,189.4,0.017835,5735.0,0.972,0.773,-0.5,4.351,41.36478,14.058,26.673828125,36452.63671875,36452.42578125,36457.833984375,10.94140625,1.04875,0.20230288261790358,14744.9521484375,8.306562423706055
6278,K05228.01,2,1.0,546.53309,1.03,94.0,89.95,0.6074,758.0,16.04,215.3,0.026123,3434.0,0.36,0.368,0.0,4.892,41.396439,15.347,22.5791015625,10340.1357421875,10340.0947265625,10344.3232421875,8.59814453125,1.015990159901599,0.12653179070780277,6371.62841796875,6.656124114990234
6279,K05229.01,2,1.0,364.63189,2.06,298.0,89.95,0.4524,302.8,22.93,110.5,0.016329,6446.0,1.155,1.17,-0.1,4.381,41.351559,14.425,61.7939453125,26259.248046875,26259.037109375,26264.8291015625,11.1171875,1.033498759305211,0.8233182916080285,66198.9296875,8.659687995910645
6280,K05230.01,2,1.0,330.738115,4.42,375.0,89.95,0.154,333.3,4.998,508.0,0.016511,5458.0,2.453,1.248,-0.14,3.755,41.329342,13.381,36.2578125,66079.84375,66079.20703125,66088.41015625,17.05078125,1.0695652173913044,0.15368617816714006,64686.015625,12.188328742980957
6281,K05231.01,2,1.0,78.876125,2.03,427.0,89.95,0.2209,472.3,4.912,122.15,0.020017,6046.0,0.927,1.011,-0.2,4.509,41.37896,15.819,20.496826171875,7069.3896484375,306582.3457339638,307812.7865028783,2830.9621967516446,1.0323624595469256,-4.106292840421215,4.319302081610454e+20,4.0336809158325195
6285,K04986.01,2,1.0,444.04257,1.48,211.0,89.95,0.062,417.4,10.9,316.4,0.018717,5776.0,0.726,0.807,-0.72,4.622,38.672531,14.795,24.9267578125,17299.5625,17299.4921875,17303.6650390625,8.3232421875,1.0135135135135136,0.26281341858082485,6650.04150390625,6.510056972503662
6290,K04991.01,2,1.0,211.330867,2.09,300.0,89.95,0.055,531.0,4.66,354.0,0.02104,5941.0,0.911,1.001,-0.14,4.519,38.654121,15.27,31.48828125,11042.1474609375,718877.1006578947,720817.5970497533,4088.818580386513,1.048462255358807,-3.597976093715236,2.7678530816782647e+19,5.009535312652588
6292,K05110.01,2,1.0,105.5904748,8.16,670.0,89.83,0.743,292.4,2.188,256.0,0.017042,4869.0,4.383,1.094,-0.04,3.193,40.052792,11.653,232.015625,305620.125,305619.953125,305668.9296875,98.5546875,1.0169491525423728,-0.032224843305329286,94818784.0,74.98646545410156
6301,K05236.01,2,1.0,550.86514,2.06,238.0,89.99,0.027,346.5,14.548,294.1,0.016926,5912.0,1.115,1.056,0.1,4.367,41.314892,13.093,46.296875,85818.8046875,85818.3046875,85825.974609375,15.2265625,1.0517241379310345,0.43802328416477593,76832.0703125,11.655865669250488
6302,K05237.01,2,1.0,380.39474,1.84,224.0,89.95,0.1094,603.0,10.775,274.2,0.022564,5772.0,0.745,0.823,-0.62,4.608,41.430752,15.326,21.65966796875,11321.1787109375,11320.9873046875,11324.9853515625,7.92626953125,1.0642317380352644,0.1921046422324385,3405.306640625,5.756613254547119
6306,K04992.01,2,1.0,12.5747207,1.45,693.0,88.78,0.588,323.3,2.896,27.5,0.0171,5654.0,0.774,0.865,-0.38,4.59,38.654381,15.133,172.947265625,12219.228515625,12230.2578125,12294.4658203125,141.16796875,0.8251670378619154,-0.38974744373857717,98360800.0,84.06802368164062
6310,K05117.01,2,1.0,33.3726538,1.95,491.0,89.97,0.038,618.4,3.663,71.1,0.022464,5504.0,0.796,0.892,-0.16,4.583,40.108009,15.986,24.90185546875,5434.03955078125,784078.7748972039,786231.7891036185,4600.859215666119,1.043294117647059,-3.9624298608315187,4.964985728616038e+20,5.810244560241699
6311,K05119.01,2,1.0,143.163697,20.03,741.0,89.38,0.9527,390.3,4.854,84.6,0.023971,5145.0,7.653,2.394,0.07,3.05,40.130909,12.644,108.25,119417.3828125,119417.03125,119437.08203125,39.068359375,1.0429184549356223,0.07586099099880939,2081651.75,28.009315490722656
6322,K05247.01,2,1.0,282.0309,3.22,315.0,89.95,0.3315,782.0,14.69,142.4,0.02593,6343.0,1.137,1.213,0.07,4.411,41.500488,14.81,192.224609375,18105.416015625,18105.021484375,18109.3779296875,8.6943359375,1.0959079283887467,21.166938701352976,10962113.0,11.229475975036621
6323,K05248.01,2,1.0,179.25465,1.35,301.0,89.95,0.1755,272.4,22.35,61.3,0.015092,5692.0,0.82,0.77,-0.56,4.496,41.524811,15.142,30.724609375,13335.7412109375,13335.4619140625,13339.2470703125,7.2978515625,1.0616352201257861,0.4399973773418172,4912.82421875,5.556239128112793
6324,K04999.01,2,1.0,65.752109,2.0,458.0,89.92,0.109,382.5,6.854,74.158,0.01775,5816.0,1.03,1.047,0.16,4.432,38.712158,15.478,19.8984375,9008.8203125,9009.134765625,9012.8115234375,7.9072265625,0.9079254079254079,-0.18029247573807097,4291.27978515625,6.054967403411865
6325,K05001.01,2,1.0,59.9655175,1.92,481.0,89.95,0.0853,310.1,1.89,245.4,0.015933,5729.0,1.105,1.048,0.28,4.372,38.779911,14.647,54.33984375,18846.591796875,18847.525390625,18853.6953125,13.4619140625,0.8625,-0.10207445183519592,56905.6640625,10.731874465942383
6327,K05003.01,2,1.0,112.951287,15.19,783.0,89.95,0.3936,555.6,4.284,189.9,0.02164,5215.0,6.428,1.782,-0.44,3.073,38.863152,13.446,76.263671875,55450.171875,55450.41796875,55473.6875,46.7421875,1.0,-0.06231213896111233,2507196.0,31.595272064208984
6328,K05004.01,2,1.0,103.363691,2.0,385.0,89.95,0.5904,359.1,6.012,108.9,0.017948,5762.0,1.022,1.103,0.38,4.461,38.8503,14.505,28.494140625,20974.849609375,20974.7578125,20978.5703125,7.7734375,1.0259579728059331,0.31501214434176533,5047.05908203125,5.9389753341674805
6330,K05124.01,2,1.0,276.879492,11.67,260.0,89.72,1.045,1762.0,3.779,211.0,0.11064,5324.0,0.966,0.846,0.1,4.396,40.287842,15.772,24.37255859375,7246.32080078125,7246.16552734375,7248.7060546875,5.074951171875,1.0590452261306533,0.8207489160054482,2018.2340087890625,3.96234130859375
6332,K05126.01,2,1.0,418.04355,13.73,463.0,89.95,0.8391,481.6,10.777,173.4,0.02299,5110.0,5.469,1.668,-0.2,3.184,40.240879,13.637,91.4921875,48576.68359375,48576.44921875,48585.982421875,18.6640625,1.0259579728059331,0.8833289799704559,430050.21875,14.542365074157715
6336,K05130.01,2,1.0,370.05918,1.9,206.0,89.95,0.0166,669.8,11.86,243.8,0.023161,5228.0,0.751,0.806,-0.18,4.592,40.314941,15.612,24.2880859375,8562.9619140625,8562.96875,8567.1455078125,8.47021484375,0.9939172749391727,0.08600347750621264,5896.6376953125,6.505764961242676
6338,K05249.01,2,1.0,19.4534296,1.25,744.0,89.91,0.046,149.0,4.873,30.8,0.011255,6372.0,1.015,1.066,-0.32,4.453,41.550388,14.518,57.6689453125,23936.353515625,343135.830129523,344813.6630962171,3877.8403988486843,0.8726960994427775,-3.8582088440144666,7.86450025967869e+19,10.18120288848877
6343,K05254.01,2,1.0,232.916142,1.2,361.0,89.95,0.2313,64.8,7.037,247.9,0.007353,5807.0,1.496,1.046,0.06,4.108,41.639271,10.926,85.21875,617285.375,617284.34375,617301.21875,32.984375,1.051948051948052,0.2803016031955392,1479673.25,25.72108268737793
6347,K02150.02,2,2.0,44.7055876,72.59,509.0,82.69,1.692,471.8,6.262,13.3,0.70871,5942.0,0.938,1.028,-0.06,4.506,38.309601,15.253,48.51171875,11474.2255859375,11473.939453125,11486.46826171875,24.4248046875,1.015990159901599,0.0434041922294929,225955.21875,17.284963607788086
