,toi,tfopwg_disp,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad
3564,4129.01,CANDIDATE,281.527275,46.248566,10.703,12.602,2459030.903234,3.2725202,1.48,5650.0,5.67657,45.8176,724.0,11.8417,130.284,4279.0,4.51,0.75
3565,413.01,CONFIRMED,66.370902,-30.600436,-0.369,2.623,2459174.669346,3.6623918,3.7669692,12253.6582523,17.2805567,1645.9886958,1624.5252338,9.6757,246.69,6600.0,4.20892,1.48532
3566,4130.01,FALSE POSITIVE,116.069722,68.826258,10.168,14.425,2459031.311744,6.269716,3.696,1240.0,3.86288,154.408,982.0,10.7386,148.525,4812.0,4.26,1.08
3567,4131.01,CANDIDATE,280.9612,48.134073,-14.056,-7.825,2459030.914546,2.3382773,2.335,13670.0,11.2432,460.055,1290.0,12.8667,411.113,5263.0,4.45,0.94
3568,4132.01,CANDIDATE,216.765629,78.762732,14.536,-29.754,2459619.466049,11.7647817,4.359,4660.0,11.8562,107.408,896.0,11.8921,578.129,5801.0,4.01,1.69
3569,4133.01,CANDIDATE,75.104595,69.82074,-4.048,-0.031,2459028.421856,4.1571402,4.374,7820.0,,850.889,1504.0,12.9532,708.626,5766.9,,
3570,4134.01,FALSE POSITIVE,70.506153,79.987529,-36.416,-3.64,2459033.325227,0.9135968,1.247,540.0,2.17077,2079.14,1881.0,11.2063,228.59,5987.0,4.58,0.89
3571,4135.01,CANDIDATE,271.493129,78.049292,1.263,28.005,2459032.269924,2.5139201,2.385,590.0,4.91328,1011.66,1571.0,10.5893,421.5,6150.0,3.9,2.05
3572,4136.01,CANDIDATE,20.407409,82.168783,11.096,-3.657,2459033.018889,3.7628839,3.503,1720.0,6.1876,1120.77,1611.0,12.1943,608.697,6357.0,4.19,1.5
3573,4137.01,CANDIDATE,77.612879,70.391079,19.859,-2.936,2459032.28503,3.8016435,3.294,8320.0,13.4483,710.957,1438.0,10.8557,334.993,6244.0,4.19,1.47
3574,4138.01,CONFIRMED,227.532153,72.710313,13.268,-7.813,2459609.370079,3.6600408,4.512,8480.0,17.5119,1219.91,1646.0,11.2633,505.703,5988.0,3.93,1.89
3575,4139.01,FALSE POSITIVE,24.670602,80.433347,-9.382,2.243,2459026.64911,4.6200781,2.149,3480.0,7.04607,216.021,1068.0,12.9551,610.592,5999.0,4.36,1.16
3576,414.01,FALSE POSITIVE,36.853585,-12.03893,48.163,3.015,2459168.84301,1.82488,1.757,2950.0,24.8366,3161.32,2088.0,9.15779,115.124,5773.74,3.51,1.23
3577,4140.01,CANDIDATE,96.977875,74.00813,6.91,-2.301,2459413.084853,4.2511214,2.823,13830.0,11.2617,240.568,1097.0,12.1311,311.002,5501.0,4.48,0.94
3578,4141.01,CANDIDATE,87.952472,71.290609,1.881,-4.556,2459028.985865,3.6023144,2.812,9380.0,14.5476,631.14,1396.0,12.5401,702.211,6338.0,4.21,1.45
3579,4142.01,CANDIDATE,263.891395,35.276512,-4.332,0.38,2459028.56881,3.6579226,3.68,5040.0,13.4182,873.869,1514.0,12.6521,890.805,5875.0,3.92,1.86
3580,4143.01,FALSE POSITIVE,70.100556,81.077272,10.058,-4.504,2459015.247898,9.8482192,4.24,1670.0,13.8742,206.691,1056.0,12.1158,1283.53,6126.0,3.46,3.31
3581,4144.01,CANDIDATE,86.617798,75.045539,-1.746,-14.478,2459406.950597,16.9020762,5.743,15360.0,11.3856,61.7478,780.0,11.9039,260.002,5442.0,4.49,0.91
3582,4145.01,CANDIDATE,39.429743,80.267384,11.766,-13.413,2459027.543919,4.0664531,1.9,19850.0,12.7314,175.461,1013.0,11.5241,205.387,5421.0,4.54,0.86
3583,4146.01,CANDIDATE,274.417782,34.091383,-48.834,-28.03,2459034.883371,0.7010826,0.923,4340.0,11.153,1722.27,1794.0,11.5765,464.611,6036.0,4.13,1.51
3584,4147.01,CANDIDATE,83.088172,79.809132,8.892,1.009,2459031.603483,2.3745391,3.242,10260.0,13.2017,1379.98,1697.0,12.7833,631.739,5865.0,4.23,1.3
3585,4148.01,CANDIDATE,30.021663,77.369001,-3.332,-5.546,2459028.461179,3.6841446,2.967,2260.0,3.74263,286.262,1145.0,12.0672,204.639,4939.0,4.55,0.79
3586,4149.01,CANDIDATE,61.055097,75.496655,3.733,-4.069,2459031.085879,3.2925701,2.189,16760.0,12.1659,197.862,1044.0,12.8508,331.43,5037.0,4.44,0.91
3587,415.01,CONFIRMED,62.616081,-45.898243,2.379,-6.511,2459166.483051,3.6112621,3.5377447,5684.0944144,13.6137403,1818.5488883,1665.5243818,10.5831,381.174,6450.0,4.03776,1.68443
3588,4150.01,CANDIDATE,62.520982,70.915716,-6.49,12.878,2459020.879366,9.7942872,3.541,3880.0,9.79579,125.455,932.0,12.8051,636.934,5737.0,4.12,1.46
3589,4151.01,CANDIDATE,287.427001,56.364271,0.31,6.853,2459676.930854,11.6999304,3.853,3020.0,12.3607,155.652,984.0,11.2924,701.278,6906.0,3.94,2.16
3590,4152.01,CANDIDATE,280.763651,24.089703,-0.176,-5.824,2459034.077762,1.581973,3.05,13350.0,,,,11.7729,555.317,,,
3591,4153.01,CANDIDATE,335.39347,82.216079,16.33,8.273,2459026.054869,4.6174187,4.461,10730.0,17.5913,952.868,1547.0,11.1477,423.84,6411.0,4.1,1.67
3592,4154.01,CANDIDATE,332.9053,82.730642,-5.812,-1.278,2459029.627551,7.3447164,4.923,3830.0,12.1123,509.416,1323.0,12.7397,975.983,6320.0,3.94,1.99
3593,4155.01,CANDIDATE,325.636227,77.734384,31.487,27.596,2459033.520541,3.3207277,2.469,910.0,2.90578,604.105,1381.0,11.2473,240.737,6142.0,4.55,0.95
3594,4156.01,CANDIDATE,230.780834,76.331882,-30.984,35.394,2459026.997942,4.4616001,2.754,480.0,2.22153,391.961,1239.0,10.7152,213.719,5986.0,4.45,1.04
3595,4157.01,CANDIDATE,345.981898,85.443022,15.327,-5.791,2459026.785323,5.2898685,3.091,2390.0,6.51803,2063.73,1877.0,11.5576,348.692,6655.0,4.5,1.11
3596,4158.01,CANDIDATE,264.300955,72.086479,,,2459014.706457,13.4156681,2.109,1820.0,,,,12.275,397.98,,,
3597,4159.01,CANDIDATE,115.451745,74.183878,-15.879,-6.103,2459580.217647,0.8661356,0.7445266,1874.5829109,8.6506736,11506.6009282,2641.5358695,12.2075,745.908,5815.0,3.89,1.91658
3598,416.01,FALSE POSITIVE,48.854393,-2.175314,29.757,-6.859,2459163.41477,7.0114,4.8,8970.0,18.1417,753.673,1459.0,8.28222,131.962,6084.8,4.01,1.82
3599,4160.01,CANDIDATE,111.741144,72.229339,3.754,-9.493,2459581.224397,4.4427441,3.25,13090.0,12.0434,351.441,1206.0,12.2319,399.676,5754.0,4.41,1.04
3600,4161.01,CANDIDATE,110.150431,72.7594,-0.957,-1.67,2459582.432635,4.2607657,6.159,2970.0,11.3505,4533.11,2285.0,11.9399,1064.43,7409.0,4.0,2.15
3601,4162.01,CANDIDATE,290.391821,73.350122,-18.509,0.002,2459580.377839,4.3744134,5.22,8000.0,18.9093,1142.28,1619.0,12.095,725.754,6013.0,3.86,2.05
