,kepoi_name,koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_num_transits,koi_quarters,koi_bin_oedp_sig,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,ra,dec,koi_kepmag,koi_fwm_stat_sig,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
9313,K08137.01,-1,1,0,0,0,402.41511,2455345.39,0.281,5.156,780.6,0.025908,23.79394,2.52,1.059,89.97,253.0,0.96,588.0,0.3026,8.326171,8.864173,9.5,3.0,11111111111111111000000000000000,0.0438,6251.0,4.53,-0.5,0.889,0.977,292.04956,42.870251,12.987,,-7.78,-2.17,,-0.00041,-2.2,3.4,4.1,-1.0,1.41,1.7
9314,K08138.01,-1,1,0,0,0,369.28177,2455066.437,1.297,26.96,1017.7,0.329802,0.00404,34.25,1.0293,87.58,250.0,0.93,30.8,0.3661,5.5626655,7.384065,13.0,4.0,11111111111111111000000000000000,0.1019,5900.0,4.509,0.07,0.951,1.065,283.32138,42.939289,15.478,0.743,1.1,0.1,-0.0009,-0.0002,,,,,,
9315,K08240.01,-1,1,0,0,0,462.463589,2455416.107,0.386,5.007,1024.3,0.029198,27.00391,8.92,1.103,89.97,355.0,3.78,673.0,0.5113,5.323457,7.406854,13.2,3.0,11111111111111111000000000000000,0.9088,5059.0,3.466,-0.5,2.799,0.834,290.48471,51.72855,13.993,0.33,-0.17,0.07,5e-05,0.00044,-0.12,0.33,0.35,-0.16,0.15,0.22
9316,K08241.01,0,0,0,0,0,490.63941,2455394.584,0.015,16.5,268.8,0.014583,0.96166,7.67,1.3982,90.0,412.0,6.84,230.0,0.5474,5.7017007,7.4183087,9.6,3.0,11111111111111111000000000000000,0.0379,5037.0,3.252,-0.1,4.817,1.513,290.86276,51.701908,13.227,0.014,0.73,2.01,-0.00025,-0.00049,0.76,1.04,1.3,0.84,1.08,1.37
9317,K08242.01,0,0,0,0,0,331.55459,2455070.275,0.001,5.35,288.7,0.015518,19.10046,1.36,0.8995,90.0,240.0,0.78,481.0,0.3728,4.879931,7.1282005,6.7,5.0,11111111111111111000000000000000,0.5727,5762.0,4.576,-0.36,0.801,0.892,286.04395,38.708801,14.066,0.743,-1.3,0.3,-0.00016,-8e-05,2.59,0.4,2.62,1.02,0.5,1.14
9318,K08243.01,-1,0,1,0,0,0.939375593,2454965.017,0.987,2.8424,100890.0,0.488602,0.60926,52.18,0.0172,71.12,1936.0,3333.58,3.052,0.3556,154.00093,729.6484,317.3,1139.0,11111011101110111000000000000000,1.0,5826.0,4.345,-0.6,0.978,0.772,295.56934,38.726059,14.904,,0.0567,-0.5425,0.0,,-0.03,0.188,0.191,-0.09,-0.179,0.201
9319,K08244.01,-1,1,0,0,0,31.1911468,2454975.508,0.019,7.003,228.4,0.013301,0.79687,9.36,0.2244,89.97,1131.0,386.78,34.48,0.6264,3.752104,7.193638,11.4,27.0,11110111011001000000000000000000,0.034,4785.0,3.009,0.18,6.443,1.546,287.5589,38.88081,13.729,0.062,0.73,0.74,-0.00015,-0.00021,-0.42,0.08,0.42,-0.34,-0.15,0.37
9320,K08245.01,-1,0,1,1,0,30.9587224,2455096.317,0.765,4.411,342.0,0.018439,0.92468,2.34,0.2041,88.78,686.0,52.49,36.0,0.2947,5.454655,9.175908,13.1,4.0,11111011101110111000000000000000,0.9814,6525.0,4.381,-0.14,1.161,1.183,294.33698,39.29496,14.75,0.0,-4.0,-1.3,0.0036,0.001,-3.41,-0.81,3.51,-3.43,-0.89,3.54
9321,K08246.01,0,0,0,0,0,425.64971,2455117.348,0.303,11.07,171.2,0.012108,2.38564,1.58,1.0826,89.94,281.0,1.48,283.8,0.3342,4.9392586,7.156312,7.6,4.0,11111111111111111000000000000000,0.9073,6067.0,4.253,-0.36,1.195,0.934,285.60822,39.5793,13.855,0.17,0.6,2.5,-0.0001,-0.00042,1.47,1.75,2.3,1.5,1.7,2.3
9322,K07923.01,0,0,0,0,0,395.13138,2454995.74,0.45,21.291,126.4,0.010265,0.25538,0.97,1.0016,89.8,208.0,0.44,128.2,0.5896,7.225203,10.02911,14.4,4.0,11111111111111111000000000000000,0.1245,5060.0,4.493,0.32,0.869,0.856,290.19992,45.419998,12.642,0.132,0.4,1.0,-6e-05,-0.00013,1.5,-0.24,1.5,1.3,-0.33,1.4
9323,K07924.01,0,0,0,0,0,0.770658979,2454964.832,0.444,1.401,83.5,0.00842,1.84245,0.68,0.0154,83.41,1548.0,1348.87,3.87,0.5684,4.1897945,9.996683,11.7,1729.0,11111111111111111000000000000000,1.0,5058.0,4.61,-0.04,0.739,0.827,291.37222,45.468102,15.132,0.0,-0.78,-0.1,5e-06,-0.000221,0.11,-1.4,1.4,0.12,-1.5,1.5
9324,K07925.01,0,0,0,0,0,4.6318914,2454966.707,0.395,3.88,50.9,0.006618,0.53593,0.64,0.054,87.33,1060.0,297.79,8.47,0.3447,4.3585105,7.45367,9.2,289.0,11111111111111111000000000000000,0.4486,5926.0,4.532,-0.2,0.887,0.978,295.50128,45.433979,14.272,0.124,-2.3,-0.4,0.000115,1.6e-05,-0.09,-0.61,0.62,-0.06,-0.69,0.69
