,pl_name,disposition,pl_orbper,pl_rade,pl_trandep,st_teff,st_rad,st_logg,ra,dec
3744,K02959.01,CANDIDATE,16.1558656,2.04,731.3,4504.0,0.53,4.713,297.27222,43.098721
3745,K02960.01,FALSE POSITIVE,1.465943491,1.6,52.3,6230.0,2.19,3.847,297.3176,48.239368
3746,K00279.01,CONFIRMED,28.45489091,6.08,1418.6,6206.0,1.573,4.159,295.48651,51.0135
3747,K02723.01,CONFIRMED,1.952711161,2.58,403.0,5741.0,0.946,4.495,292.42749,38.472912
3748,K02724.01,FALSE POSITIVE,0.620739667,29.28,108.2,6559.0,1.602,4.133,299.50751,40.477428
3749,K02725.01,FALSE POSITIVE,0.587470828,51.02,193.8,5787.0,2.667,3.678,299.06491,41.508301
3750,K02726.01,FALSE POSITIVE,0.934924739,2.29,73.8,6477.0,2.628,3.781,299.62952,47.479809
3751,K02727.01,FALSE POSITIVE,25.7054557,1.75,266.3,6326.0,1.001,4.459,297.98141,39.900162
3752,K02802.01,CONFIRMED,3.84822189,1.72,203.9,5927.0,1.193,4.323,286.25443,41.02187
3753,K02803.01,CONFIRMED,2.37752442,0.53,32.1,5615.0,0.936,4.505,294.86688,46.790562
3754,K02804.01,FALSE POSITIVE,2.62838097,1.01,89.9,5884.0,1.07,4.408,299.35519,40.43306
3755,K02805.01,CONFIRMED,1.877878538,0.78,47.5,6324.0,1.115,4.352,290.69373,48.701481
3756,K02807.01,CANDIDATE,3.375716723,2.34,175.7,6310.0,1.282,4.273,290.48007,38.136688
3757,K00041.03,CONFIRMED,35.3331932,1.55,99.7,5788.0,1.474,4.122,291.38599,41.990269
3758,K00274.01,CONFIRMED,15.0896415,1.42,77.8,6063.0,1.613,4.061,282.49222,43.980209
3759,K02877.01,CONFIRMED,5.30873978,1.08,127.5,5914.0,0.955,4.483,286.95844,42.541382
3760,K02878.01,CONFIRMED,3.89524296,1.13,189.0,5018.0,0.838,4.492,293.79358,40.240929
3761,K02880.01,CONFIRMED,0.740926358,1.22,195.5,5618.0,0.874,4.494,289.19547,46.651699
3762,K02882.01,CANDIDATE,75.8580035,2.72,1148.4,4474.0,0.614,4.67,297.59085,40.81496
3763,K02965.01,FALSE POSITIVE,1.352564873,1.45,56.7,6463.0,1.823,3.959,291.30753,44.457619
3764,K02966.01,FALSE POSITIVE,7.72768833,1.89,404.8,5765.0,0.94,4.468,292.90903,40.152039
3765,K02967.01,CONFIRMED,37.3033197,2.31,551.7,5646.0,0.817,4.55,297.19928,41.226429
3766,K02968.01,CANDIDATE,10.16435076,1.99,37.7,6133.0,2.71,3.718,286.58014,45.163822
3767,K02969.01,FALSE POSITIVE,31.9729501,2.41,156.3,6007.0,1.759,4.064,292.11945,44.657928
3768,K02729.01,CONFIRMED,14.8877665,1.96,252.5,6143.0,1.116,4.344,289.06485,50.460972
3769,K02730.01,CONFIRMED,4.52158614,1.31,106.2,5576.0,1.289,4.201,284.67538,44.41777
3770,K02731.01,FALSE POSITIVE,2.007750531,1.64,352.0,5645.0,0.865,4.549,295.33014,39.16254
